County/City,,,"Glenn Allen Youngkin","Terence Richard McAuliffe","Princess Latece Teira Blanding","All Others","Total Votes Cast"
,,,Republican,Democratic,Liberation
"Accomack County",,,"7,878","4,948",67,4,"12,897"
"Albemarle County",,,"19,141","31,919",347,36,"51,443"
"Alexandria City",,,"14,013","43,866",385,66,"58,330"
"Alleghany County",,,"4,530","1,518",26,5,"6,079"
"Amelia County",,,"4,720","1,617",23,2,"6,362"
"Amherst County",,,"9,731","3,897",72,6,"13,706"
"Appomattox County",,,"5,971","1,438",26,5,"7,440"
"Arlington County",,,"21,548","73,013",554,116,"95,231"
"Augusta County",,,"26,196","7,231",170,16,"33,613"
"Bath County",,,"1,539",396,11,1,"1,947"
"Bedford County",,,"30,912","8,001",145,21,"39,079"
"Bland County",,,"2,274",364,12,1,"2,651"
"Botetourt County",,,"13,066","3,990",61,8,"17,125"
"Bristol City",,,"3,773","1,342",30,2,"5,147"
"Brunswick County",,,"2,880","3,165",34,5,"6,084"
"Buchanan County",,,"5,083",903,8,6,"6,000"
"Buckingham County",,,"3,894","2,222",35,2,"6,153"
"Buena Vista City",,,"1,459",481,22,1,"1,963"
"Campbell County",,,"18,213","4,930",77,15,"23,235"
"Caroline County",,,"6,917","5,045",91,8,"12,061"
"Carroll County",,,"9,868","1,910",43,4,"11,825"
"Charles City County",,,"1,550","1,822",15,0,"3,387"
"Charlotte County",,,"3,354","1,396",21,3,"4,774"
"Charlottesville City",,,"2,774","14,378",173,22,"17,347"
"Chesapeake City",,,"48,079","42,907",654,59,"91,699"
"Chesterfield County",,,"80,889","74,085","1,194",109,"156,277"
"Clarke County",,,"4,642","2,739",34,7,"7,422"
"Colonial Heights City",,,"4,913","1,729",53,10,"6,705"
"Covington City",,,"1,198",579,16,0,"1,793"
"Craig County",,,"2,079",400,17,4,"2,500"
"Culpeper County",,,"13,436","6,661",107,10,"20,214"
"Cumberland County",,,"2,678","1,515",27,5,"4,225"
"Danville City",,,"5,907","6,872",80,5,"12,864"
"Dickenson County",,,"3,867",934,11,3,"4,815"
"Dinwiddie County",,,"7,335","4,181",59,7,"11,582"
"Emporia City",,,723,"1,087",20,2,"1,832"
"Essex County",,,"2,684","1,980",39,6,"4,709"
"Fairfax County",,,"152,110","286,316","2,348",488,"441,262"
"Fairfax City",,,"3,606","6,465",59,12,"10,142"
"Falls Church City",,,"1,590","5,388",42,6,"7,026"
"Fauquier County",,,"22,252","11,570",156,14,"33,992"
"Floyd County",,,"5,230","2,203",59,6,"7,498"
"Fluvanna County",,,"7,068","5,312",65,9,"12,454"
"Franklin County",,,"17,842","5,894",102,10,"23,848"
"Franklin City",,,"1,270","1,680",14,1,"2,965"
"Frederick County",,,"25,063","11,164",130,19,"36,376"
"Fredericksburg City",,,"3,503","5,402",113,17,"9,035"
"Galax City",,,"1,424",492,9,1,"1,926"
"Giles County",,,"5,788","1,535",61,5,"7,389"
"Gloucester County",,,"12,585","4,712",88,6,"17,391"
"Goochland County",,,"9,585","4,910",52,5,"14,552"
"Grayson County",,,"5,144","1,062",27,4,"6,237"
"Greene County",,,"5,961","2,806",68,7,"8,842"
"Greensville County",,,"1,709","1,915",12,2,"3,638"
"Halifax County",,,"8,641","4,804",75,2,"13,522"
"Hampton City",,,"14,651","29,971",449,33,"45,104"
"Hanover County",,,"39,515","18,107",304,34,"57,960"
"Harrisonburg City",,,"4,382","6,812",131,12,"11,337"
"Henrico County",,,"55,796","81,409","1,342",120,"138,667"
"Henry County",,,"12,902","5,547",74,13,"18,536"
"Highland County",,,969,325,8,1,"1,303"
"Hopewell City",,,"3,095","3,085",87,9,"6,276"
"Isle of Wight County",,,"12,000","6,565",91,16,"18,672"
"James City County",,,"21,048","18,836",186,21,"40,091"
"King and Queen County",,,"2,112","1,130",18,1,"3,261"
"King George County",,,"7,286","3,317",91,7,"10,701"
"King William County",,,"6,286","2,247",33,6,"8,572"
"Lancaster County",,,"3,448","2,406",16,3,"5,873"
"Lee County",,,"6,372",882,18,2,"7,274"
"Lexington City",,,775,"1,289",10,4,"2,078"
"Loudoun County",,,"71,467","89,390",803,133,"161,793"
"Louisa County",,,"11,649","5,896",87,7,"17,639"
"Lunenburg County",,,"3,019","1,567",11,0,"4,597"
"Lynchburg City",,,"13,668","11,000",198,35,"24,901"
"Madison County",,,"4,721","1,973",29,5,"6,728"
"Manassas City",,,"5,050","6,155",87,14,"11,306"
"Manassas Park City",,,"1,379","2,158",46,14,"3,597"
"Martinsville City",,,"1,676","2,224",40,5,"3,945"
"Mathews County",,,"3,493","1,363",18,7,"4,881"
"Mecklenburg County",,,"7,922","4,075",37,3,"12,037"
"Middlesex County",,,"3,703","1,860",47,3,"5,613"
"Montgomery County",,,"17,041","15,355",377,21,"32,794"
"Nelson County",,,"4,259","3,346",64,11,"7,680"
"New Kent County",,,"8,569","3,439",52,6,"12,066"
"Newport News City",,,"21,241","32,399",588,48,"54,276"
"Norfolk City",,,"18,888","40,324",789,60,"60,061"
"Northampton County",,,"2,650","2,584",27,3,"5,264"
"Northumberland County",,,"4,167","2,312",37,0,"6,516"
"Norton City",,,866,320,13,4,"1,203"
"Nottoway County",,,"3,497","1,892",24,3,"5,416"
"Orange County",,,"10,670","5,351",80,9,"16,110"
"Page County",,,"7,594","1,995",28,5,"9,622"
"Patrick County",,,"5,946","1,255",32,6,"7,239"
"Petersburg City",,,"1,207","7,591",141,5,"8,944"
"Pittsylvania County",,,"19,543","6,319",76,12,"25,950"
"Poquoson City",,,"4,897","1,364",32,5,"6,298"
"Portsmouth City",,,"9,946","19,513",355,19,"29,833"
"Powhatan County",,,"12,582","3,721",58,10,"16,371"
"Prince Edward County",,,"3,876","3,210",36,3,"7,125"
"Prince George County",,,"8,548","4,577",84,13,"13,222"
"Prince William County",,,"64,658","87,352","1,111",97,"153,218"
"Pulaski County",,,"9,631","3,277",88,9,"13,005"
"Radford City",,,"2,266","1,879",44,5,"4,194"
"Rappahannock County",,,"2,507","1,686",19,5,"4,217"
"Richmond County",,,"2,225",936,20,2,"3,183"
"Richmond City",,,"15,713","61,929","2,409",90,"80,141"
"Roanoke County",,,"28,157","14,445",220,37,"42,859"
"Roanoke City",,,"12,024","16,817",272,34,"29,147"
"Rockbridge County",,,"6,906","3,071",40,7,"10,024"
"Rockingham County",,,"26,765","8,569",182,23,"35,539"
"Russell County",,,"8,229","1,452",17,3,"9,701"
"Salem City",,,"6,144","3,344",60,8,"9,556"
"Scott County",,,"7,065","1,034",28,4,"8,131"
"Shenandoah County",,,"13,693","4,535",107,11,"18,346"
"Smyth County",,,"8,477","1,751",35,6,"10,269"
"Southampton County",,,"5,084","2,717",29,4,"7,834"
"Spotsylvania County",,,"32,478","21,426",346,29,"54,279"
"Stafford County",,,"31,680","25,463",425,35,"57,603"
"Staunton City",,,"4,640","5,004",119,8,"9,771"
"Suffolk City",,,"17,351","19,079",252,34,"36,716"
"Surry County",,,"1,768","1,756",9,3,"3,536"
"Sussex County",,,"1,973","2,028",24,0,"4,025"
"Tazewell County",,,"12,045","1,821",40,4,"13,910"
"Virginia Beach City",,,"86,973","73,965","1,160",99,"162,197"
"Warren County",,,"11,294","4,328",89,7,"15,718"
"Washington County",,,"17,395","4,505",78,18,"21,996"
"Waynesboro City",,,"4,473","3,275",99,9,"7,856"
"Westmoreland County",,,"4,614","2,971",30,5,"7,620"
"Williamsburg City",,,"1,703","3,185",40,3,"4,931"
"Winchester City",,,"4,137","4,294",60,5,"8,496"
"Wise County",,,"9,691","1,796",53,11,"11,551"
"Wythe County",,,"9,458","2,043",59,5,"11,565"
"York County",,,"17,485","12,190",150,16,"29,841"
TOTALS,,,"1,663,158","1,599,470","23,107","2,583","3,288,318"
